Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
0.1	Src1	0	dev[0]=net(0,0-5)	InInterests	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	OutInterests	20	0.545898
0.1	Src1	0	dev[0]=net(0,0-5)	DropInterests	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	InNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	OutNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	DropNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	InData	17	21.3154
0.1	Src1	0	dev[0]=net(0,0-5)	OutData	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	DropData	0	0
0.1	Src1	2	dev=local(2)	InInterests	20	0
0.1	Src1	2	dev=local(2)	OutInterests	0	0
0.1	Src1	2	dev=local(2)	DropInterests	0	0
0.1	Src1	2	dev=local(2)	InNacks	0	0
0.1	Src1	2	dev=local(2)	OutNacks	0	0
0.1	Src1	2	dev=local(2)	DropNacks	0	0
0.1	Src1	2	dev=local(2)	InData	0	0
0.1	Src1	2	dev=local(2)	OutData	17	0
0.1	Src1	2	dev=local(2)	DropData	0	0
0.1	Src1	-1	all	SatisfiedInterests	17	0
0.1	Src1	-1	all	TimedOutInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutInterests	20	0.545898
0.1	Src2	0	dev[1]=net(0,1-6)	DropInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	DropNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InData	19	23.8232
0.1	Src2	0	dev[1]=net(0,1-6)	OutData	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	DropData	0	0
0.1	Src2	2	dev=local(2)	InInterests	20	0
0.1	Src2	2	dev=local(2)	OutInterests	0	0
0.1	Src2	2	dev=local(2)	DropInterests	0	0
0.1	Src2	2	dev=local(2)	InNacks	0	0
0.1	Src2	2	dev=local(2)	OutNacks	0	0
0.1	Src2	2	dev=local(2)	DropNacks	0	0
0.1	Src2	2	dev=local(2)	InData	0	0
0.1	Src2	2	dev=local(2)	OutData	19	0
0.1	Src2	2	dev=local(2)	DropData	0	0
0.1	Src2	-1	all	SatisfiedInterests	19	0
0.1	Src2	-1	all	TimedOutInterests	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InInterests	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutInterests	20	0.545898
0.1	Src3	0	dev[2]=net(0,2-7)	DropInterests	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InNacks	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutNacks	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	DropNacks	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InData	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutData	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	DropData	0	0
0.1	Src3	2	dev=local(2)	InInterests	20	0
0.1	Src3	2	dev=local(2)	OutInterests	0	0
0.1	Src3	2	dev=local(2)	DropInterests	0	0
0.1	Src3	2	dev=local(2)	InNacks	0	0
0.1	Src3	2	dev=local(2)	OutNacks	0	0
0.1	Src3	2	dev=local(2)	DropNacks	0	0
0.1	Src3	2	dev=local(2)	InData	0	0
0.1	Src3	2	dev=local(2)	OutData	0	0
0.1	Src3	2	dev=local(2)	DropData	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InInterests	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	OutInterests	20	0.545898
0.1	Src4	0	dev[3]=net(0,3-8)	DropInterests	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InNacks	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	OutNacks	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	DropNacks	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InData	8	10.0303
0.1	Src4	0	dev[3]=net(0,3-8)	OutData	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	DropData	0	0
0.1	Src4	2	dev=local(2)	InInterests	20	0
0.1	Src4	2	dev=local(2)	OutInterests	0	0
0.1	Src4	2	dev=local(2)	DropInterests	0	0
0.1	Src4	2	dev=local(2)	InNacks	0	0
0.1	Src4	2	dev=local(2)	OutNacks	0	0
0.1	Src4	2	dev=local(2)	DropNacks	0	0
0.1	Src4	2	dev=local(2)	InData	0	0
0.1	Src4	2	dev=local(2)	OutData	8	0
0.1	Src4	2	dev=local(2)	DropData	0	0
0.1	Src4	-1	all	SatisfiedInterests	8	0
0.1	Src4	-1	all	TimedOutInterests	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	InInterests	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	OutInterests	20	0.545898
