Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.1	Src1	0	dev[0]=net(0,0-5)	InInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	OutInterests	160	4.36719	20	0.545898
0.1	Src1	0	dev[0]=net(0,0-5)	DropInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	InNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	OutNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	DropNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	InData	136	170.523	17	21.3154
0.1	Src1	0	dev[0]=net(0,0-5)	OutData	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	DropData	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	InSatisfiedInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	InTimedOutInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-5)	OutSatisfiedInterests	136	0	17	0
0.1	Src1	0	dev[0]=net(0,0-5)	OutTimedOutInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	InInterests	160	0	20	0
0.1	Src1	2	dev=local(2)	OutInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	DropInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	InNacks	0	0	0	0
0.1	Src1	2	dev=local(2)	OutNacks	0	0	0	0
0.1	Src1	2	dev=local(2)	DropNacks	0	0	0	0
0.1	Src1	2	dev=local(2)	InData	0	0	0	0
0.1	Src1	2	dev=local(2)	OutData	136	0	17	0
0.1	Src1	2	dev=local(2)	DropData	0	0	0	0
0.1	Src1	2	dev=local(2)	InSatisfiedInterests	136	0	17	0
0.1	Src1	2	dev=local(2)	InTimedOutInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	OutSatisfiedInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
0.1	Src1	-1	all	SatisfiedInterests	136	0	17	0
0.1	Src1	-1	all	TimedOutInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutInterests	160	4.36719	20	0.545898
0.1	Src2	0	dev[1]=net(0,1-6)	DropInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	DropNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InData	152	190.586	19	23.8232
0.1	Src2	0	dev[1]=net(0,1-6)	OutData	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	DropData	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InSatisfiedInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InTimedOutInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutSatisfiedInterests	152	0	19	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutTimedOutInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	InInterests	160	0	20	0
0.1	Src2	2	dev=local(2)	OutInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	DropInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	InNacks	0	0	0	0
0.1	Src2	2	dev=local(2)	OutNacks	0	0	0	0
0.1	Src2	2	dev=local(2)	DropNacks	0	0	0	0
0.1	Src2	2	dev=local(2)	InData	0	0	0	0
0.1	Src2	2	dev=local(2)	OutData	152	0	19	0
0.1	Src2	2	dev=local(2)	DropData	0	0	0	0
0.1	Src2	2	dev=local(2)	InSatisfiedInterests	152	0	19	0
0.1	Src2	2	dev=local(2)	InTimedOutInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	OutSatisfiedInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
0.1	Src2	-1	all	SatisfiedInterests	152	0	19	0
0.1	Src2	-1	all	TimedOutInterests	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InInterests	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutInterests	160	4.36719	20	0.545898
0.1	Src3	0	dev[2]=net(0,2-7)	DropInterests	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InNacks	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutNacks	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	DropNacks	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InData	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutData	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	DropData	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InSatisfiedInterests	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	InTimedOutInterests	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutSatisfiedInterests	0	0	0	0
0.1	Src3	0	dev[2]=net(0,2-7)	OutTimedOutInterests	0	0	0	0
0.1	Src3	2	dev=local(2)	InInterests	160	0	20	0
0.1	Src3	2	dev=local(2)	OutInterests	0	0	0	0
0.1	Src3	2	dev=local(2)	DropInterests	0	0	0	0
0.1	Src3	2	dev=local(2)	InNacks	0	0	0	0
0.1	Src3	2	dev=local(2)	OutNacks	0	0	0	0
0.1	Src3	2	dev=local(2)	DropNacks	0	0	0	0
0.1	Src3	2	dev=local(2)	InData	0	0	0	0
0.1	Src3	2	dev=local(2)	OutData	0	0	0	0
0.1	Src3	2	dev=local(2)	DropData	0	0	0	0
0.1	Src3	2	dev=local(2)	InSatisfiedInterests	0	0	0	0
0.1	Src3	2	dev=local(2)	InTimedOutInterests	0	0	0	0
0.1	Src3	2	dev=local(2)	OutSatisfiedInterests	0	0	0	0
0.1	Src3	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InInterests	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	OutInterests	160	4.36719	20	0.545898
0.1	Src4	0	dev[3]=net(0,3-8)	DropInterests	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InNacks	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	OutNacks	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	DropNacks	0	0	0	0
