Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
0.1	Src1	1	dev=local(1)	InInterests	20	0
0.1	Src1	1	dev=local(1)	OutInterests	0	0
0.1	Src1	1	dev=local(1)	DropInterests	0	0
0.1	Src1	1	dev=local(1)	InNacks	0	0
0.1	Src1	1	dev=local(1)	OutNacks	0	0
0.1	Src1	1	dev=local(1)	DropNacks	0	0
0.1	Src1	1	dev=local(1)	InData	0	0
0.1	Src1	1	dev=local(1)	OutData	0	0
0.1	Src1	1	dev=local(1)	DropData	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InInterests	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutInterests	20	0.545898
0.1	Src1	0	dev[0]=net(0,0-2)	DropInterests	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InData	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutData	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropData	0	0
0.1	Src2	1	dev=local(1)	InInterests	20	0
0.1	Src2	1	dev=local(1)	OutInterests	0	0
0.1	Src2	1	dev=local(1)	DropInterests	0	0
0.1	Src2	1	dev=local(1)	InNacks	0	0
0.1	Src2	1	dev=local(1)	OutNacks	0	0
0.1	Src2	1	dev=local(1)	DropNacks	0	0
0.1	Src2	1	dev=local(1)	InData	0	0
0.1	Src2	1	dev=local(1)	OutData	0	0
0.1	Src2	1	dev=local(1)	DropData	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutInterests	20	0.545898
0.1	Src2	0	dev[1]=net(0,1-6)	DropInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	DropNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	InData	0	0
0.1	Src2	0	dev[1]=net(0,1-6)	OutData	0	0
