Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
0.1	Src1	0	dev[0]=net(0,0-2)	InInterests	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutInterests	20	0.544922
0.1	Src1	0	dev[0]=net(0,0-2)	DropInterests	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropNacks	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InData	11	13.791
0.1	Src1	0	dev[0]=net(0,0-2)	OutData	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropData	0	0
0.1	Src1	1	dev=local(1)	InInterests	4	0
0.1	Src1	1	dev=local(1)	OutInterests	0	0
0.1	Src1	1	dev=local(1)	DropInterests	0	0
0.1	Src1	1	dev=local(1)	InNacks	0	0
0.1	Src1	1	dev=local(1)	OutNacks	0	0
0.1	Src1	1	dev=local(1)	DropNacks	0	0
0.1	Src1	1	dev=local(1)	InData	0	0
0.1	Src1	1	dev=local(1)	OutData	4	3.76172
0.1	Src1	1	dev=local(1)	DropData	0	0
0.1	Src1	2	dev=local(2)	InInterests	16	0
0.1	Src1	2	dev=local(2)	OutInterests	0	0
0.1	Src1	2	dev=local(2)	DropInterests	0	0
0.1	Src1	2	dev=local(2)	InNacks	0	0
0.1	Src1	2	dev=local(2)	OutNacks	0	0
0.1	Src1	2	dev=local(2)	DropNacks	0	0
0.1	Src1	2	dev=local(2)	InData	0	0
0.1	Src1	2	dev=local(2)	OutData	7	0
0.1	Src1	2	dev=local(2)	DropData	0	0
0.1	Src1	-1	all	SatisfiedInterests	11	0
0.1	Src1	-1	all	TimedOutInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutInterests	20	0.544922
0.1	Src2	0	dev[1]=net(0,1-2)	DropInterests	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	DropNacks	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InData	17	21.3145
0.1	Src2	0	dev[1]=net(0,1-2)	OutData	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	DropData	0	0
0.1	Src2	1	dev=local(1)	InInterests	4	0
0.1	Src2	1	dev=local(1)	OutInterests	0	0
0.1	Src2	1	dev=local(1)	DropInterests	0	0
0.1	Src2	1	dev=local(1)	InNacks	0	0
0.1	Src2	1	dev=local(1)	OutNacks	0	0
0.1	Src2	1	dev=local(1)	DropNacks	0	0
0.1	Src2	1	dev=local(1)	InData	0	0
0.1	Src2	1	dev=local(1)	OutData	4	2.50781
0.1	Src2	1	dev=local(1)	DropData	0	0
0.1	Src2	2	dev=local(2)	InInterests	16	0
0.1	Src2	2	dev=local(2)	OutInterests	0	0
0.1	Src2	2	dev=local(2)	DropInterests	0	0
0.1	Src2	2	dev=local(2)	InNacks	0	0
0.1	Src2	2	dev=local(2)	OutNacks	0	0
0.1	Src2	2	dev=local(2)	DropNacks	0	0
0.1	Src2	2	dev=local(2)	InData	0	0
0.1	Src2	2	dev=local(2)	OutData	13	0
0.1	Src2	2	dev=local(2)	DropData	0	0
0.1	Src2	-1	all	SatisfiedInterests	17	0
0.1	Src2	-1	all	TimedOutInterests	0	0
0.1	Rtr1	3	dev[2]=net(3,4-2)	InInterests	0	0
0.1	Rtr1	3	dev[2]=net(3,4-2)	OutInterests	16	0.436523
0.1	Rtr1	3	dev[2]=net(3,4-2)	DropInterests	0	0
