Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.01	Src1	combined	Drop	0	0	0	0
0.01	Src2	combined	Drop	0	0	0	0
0.01	Rtr1	combined	Drop	0	0	0	0
0.01	Rtr2	combined	Drop	0	0	0	0
0.01	Dst1	combined	Drop	0	0	0	0
0.01	Dst2	combined	Drop	0	0	0	0
0.02	Src1	combined	Drop	0	0	0	0
0.02	Src2	combined	Drop	0	0	0	0
0.02	Rtr1	combined	Drop	0	0	0	0
0.02	Rtr2	combined	Drop	0	0	0	0
0.02	Dst1	combined	Drop	0	0	0	0
0.02	Dst2	combined	Drop	0	0	0	0
0.03	Src1	combined	Drop	0	0	0	0
0.03	Src2	combined	Drop	0	0	0	0
0.03	Rtr1	combined	Drop	0	0	0	0
0.03	Rtr2	combined	Drop	0	0	0	0
0.03	Dst1	combined	Drop	0	0	0	0
0.03	Dst2	combined	Drop	0	0	0	0
0.04	Src1	combined	Drop	0	0	0	0
0.04	Src2	combined	Drop	0	0	0	0
0.04	Rtr1	combined	Drop	0	0	0	0
0.04	Rtr2	combined	Drop	0	0	0	0
0.04	Dst1	combined	Drop	0	0	0	0
0.04	Dst2	combined	Drop	0	0	0	0
0.05	Src1	combined	Drop	0	0	0	0
0.05	Src2	combined	Drop	0	0	0	0
0.05	Rtr1	combined	Drop	0	0	0	0
0.05	Rtr2	combined	Drop	0	0	0	0
0.05	Dst1	combined	Drop	0	0	0	0
0.05	Dst2	combined	Drop	0	0	0	0
0.06	Src1	combined	Drop	0	0	0	0
0.06	Src2	combined	Drop	0	0	0	0
0.06	Rtr1	combined	Drop	0	0	0	0
0.06	Rtr2	combined	Drop	0	0	0	0
0.06	Dst1	combined	Drop	0	0	0	0
0.06	Dst2	combined	Drop	0	0	0	0
0.07	Src1	combined	Drop	0	0	0	0
0.07	Src2	combined	Drop	0	0	0	0
0.07	Rtr1	combined	Drop	0	0	0	0
0.07	Rtr2	combined	Drop	0	0	0	0
0.07	Dst1	combined	Drop	0	0	0	0
0.07	Dst2	combined	Drop	0	0	0	0
0.08	Src1	combined	Drop	0	0	0	0
0.08	Src2	combined	Drop	0	0	0	0
0.08	Rtr1	combined	Drop	0	0	0	0
0.08	Rtr2	combined	Drop	0	0	0	0
0.08	Dst1	combined	Drop	0	0	0	0
0.08	Dst2	combined	Drop	0	0	0	0
0.09	Src1	combined	Drop	0	0	0	0
0.09	Src2	combined	Drop	0	0	0	0
0.09	Rtr1	combined	Drop	0	0	0	0
0.09	Rtr2	combined	Drop	0	0	0	0
0.09	Dst1	combined	Drop	0	0	0	0
0.09	Dst2	combined	Drop	0	0	0	0
0.1	Src1	combined	Drop	0	0	0	0
0.1	Src2	combined	Drop	0	0	0	0
0.1	Rtr1	combined	Drop	0	0	0	0
0.1	Rtr2	combined	Drop	0	0	0	0
0.1	Dst1	combined	Drop	0	0	0	0
0.1	Dst2	combined	Drop	0	0	0	0
0.11	Src1	combined	Drop	0	0	0	0
0.11	Src2	combined	Drop	0	0	0	0
0.11	Rtr1	combined	Drop	0	0	0	0
0.11	Rtr2	combined	Drop	0	0	0	0
0.11	Dst1	combined	Drop	0	0	0	0
0.11	Dst2	combined	Drop	0	0	0	0
0.12	Src1	combined	Drop	0	0	0	0
0.12	Src2	combined	Drop	0	0	0	0
0.12	Rtr1	combined	Drop	0	0	0	0
