Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.1	Src1	0	dev[0]=net(0,0-2)	InInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutInterests	160	4.35938	20	0.544922
0.1	Src1	0	dev[0]=net(0,0-2)	DropInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InData	88	110.328	11	13.791
0.1	Src1	0	dev[0]=net(0,0-2)	OutData	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropData	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InSatisfiedInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InTimedOutInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutSatisfiedInterests	88	0	11	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutTimedOutInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	InInterests	32	0	4	0
0.1	Src1	1	dev=local(1)	OutInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	DropInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	InNacks	0	0	0	0
0.1	Src1	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Src1	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Src1	1	dev=local(1)	InData	0	0	0	0
0.1	Src1	1	dev=local(1)	OutData	32	30.0938	4	3.76172
0.1	Src1	1	dev=local(1)	DropData	0	0	0	0
0.1	Src1	1	dev=local(1)	InSatisfiedInterests	32	0	4	0
0.1	Src1	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	InInterests	128	0	16	0
0.1	Src1	2	dev=local(2)	OutInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	DropInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	InNacks	0	0	0	0
0.1	Src1	2	dev=local(2)	OutNacks	0	0	0	0
0.1	Src1	2	dev=local(2)	DropNacks	0	0	0	0
0.1	Src1	2	dev=local(2)	InData	0	0	0	0
0.1	Src1	2	dev=local(2)	OutData	56	0	7	0
0.1	Src1	2	dev=local(2)	DropData	0	0	0	0
0.1	Src1	2	dev=local(2)	InSatisfiedInterests	56	0	7	0
0.1	Src1	2	dev=local(2)	InTimedOutInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	OutSatisfiedInterests	0	0	0	0
0.1	Src1	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
0.1	Src1	-1	all	SatisfiedInterests	88	0	11	0
0.1	Src1	-1	all	TimedOutInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutInterests	160	4.35938	20	0.544922
0.1	Src2	0	dev[1]=net(0,1-2)	DropInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	DropNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InData	136	170.516	17	21.3145
0.1	Src2	0	dev[1]=net(0,1-2)	OutData	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	DropData	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InSatisfiedInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InTimedOutInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutSatisfiedInterests	136	0	17	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutTimedOutInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	InInterests	32	0	4	0
0.1	Src2	1	dev=local(1)	OutInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	DropInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	InNacks	0	0	0	0
0.1	Src2	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Src2	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Src2	1	dev=local(1)	InData	0	0	0	0
0.1	Src2	1	dev=local(1)	OutData	32	20.0625	4	2.50781
0.1	Src2	1	dev=local(1)	DropData	0	0	0	0
0.1	Src2	1	dev=local(1)	InSatisfiedInterests	32	0	4	0
0.1	Src2	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	InInterests	128	0	16	0
0.1	Src2	2	dev=local(2)	OutInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	DropInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	InNacks	0	0	0	0
0.1	Src2	2	dev=local(2)	OutNacks	0	0	0	0
0.1	Src2	2	dev=local(2)	DropNacks	0	0	0	0
0.1	Src2	2	dev=local(2)	InData	0	0	0	0
0.1	Src2	2	dev=local(2)	OutData	104	0	13	0
0.1	Src2	2	dev=local(2)	DropData	0	0	0	0
0.1	Src2	2	dev=local(2)	InSatisfiedInterests	104	0	13	0
0.1	Src2	2	dev=local(2)	InTimedOutInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	OutSatisfiedInterests	0	0	0	0
0.1	Src2	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
0.1	Src2	-1	all	SatisfiedInterests	136	0	17	0
0.1	Src2	-1	all	TimedOutInterests	0	0	0	0
0.1	Rtr1	3	dev[2]=net(3,4-2)	InInterests	0	0	0	0
0.1	Rtr1	3	dev[2]=net(3,4-2)	OutInterests	128	3.49219	16	0.436523
