Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.1	Src1	0	dev[0]=net(0,0-2)	InInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutInterests	24	0.648438	3	0.0810547
0.1	Src1	0	dev[0]=net(0,0-2)	DropInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropNacks	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InData	8	10.0234	1	1.25293
0.1	Src1	0	dev[0]=net(0,0-2)	OutData	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	DropData	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InSatisfiedInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	InTimedOutInterests	0	0	0	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutSatisfiedInterests	8	0	1	0
0.1	Src1	0	dev[0]=net(0,0-2)	OutTimedOutInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	InInterests	128	0	16	0
0.1	Src1	1	dev=local(1)	OutInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	DropInterests	104	0	13	0
0.1	Src1	1	dev=local(1)	InNacks	0	0	0	0
0.1	Src1	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Src1	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Src1	1	dev=local(1)	InData	0	0	0	0
0.1	Src1	1	dev=local(1)	OutData	8	0	1	0
0.1	Src1	1	dev=local(1)	DropData	0	0	0	0
0.1	Src1	1	dev=local(1)	InSatisfiedInterests	8	0	1	0
0.1	Src1	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.1	Src1	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Src1	-1	all	SatisfiedInterests	8	0	1	0
0.1	Src1	-1	all	TimedOutInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutInterests	40	1.08594	5	0.135742
0.1	Src2	0	dev[1]=net(0,1-2)	DropInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	DropNacks	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InData	8	10.0234	1	1.25293
0.1	Src2	0	dev[1]=net(0,1-2)	OutData	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	DropData	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InSatisfiedInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	InTimedOutInterests	0	0	0	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutSatisfiedInterests	8	0	1	0
0.1	Src2	0	dev[1]=net(0,1-2)	OutTimedOutInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	InInterests	128	0	16	0
0.1	Src2	1	dev=local(1)	OutInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	DropInterests	88	0	11	0
0.1	Src2	1	dev=local(1)	InNacks	0	0	0	0
0.1	Src2	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Src2	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Src2	1	dev=local(1)	InData	0	0	0	0
0.1	Src2	1	dev=local(1)	OutData	8	0	1	0
0.1	Src2	1	dev=local(1)	DropData	0	0	0	0
0.1	Src2	1	dev=local(1)	InSatisfiedInterests	8	0	1	0
0.1	Src2	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.1	Src2	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Src2	-1	all	SatisfiedInterests	8	0	1	0
0.1	Src2	-1	all	TimedOutInterests	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	InInterests	24	0.648438	3	0.0810547
0.1	Rtr1	0	dev[2]=net(0,0-2)	OutInterests	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	DropInterests	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	InNacks	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	OutNacks	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	DropNacks	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	InData	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	OutData	8	10.0234	1	1.25293
0.1	Rtr1	0	dev[2]=net(0,0-2)	DropData	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	InSatisfiedInterests	8	0	1	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	InTimedOutInterests	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	OutSatisfiedInterests	0	0	0	0
0.1	Rtr1	0	dev[2]=net(0,0-2)	OutTimedOutInterests	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	InInterests	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	OutInterests	48	1.29688	6	0.162109
0.1	Rtr1	2	dev[2]=net(2,2-3)	DropInterests	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	InNacks	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	OutNacks	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	DropNacks	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	InData	16	20.0469	2	2.50586
0.1	Rtr1	2	dev[2]=net(2,2-3)	OutData	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	DropData	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	InSatisfiedInterests	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	InTimedOutInterests	0	0	0	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	OutSatisfiedInterests	16	0	2	0
0.1	Rtr1	2	dev[2]=net(2,2-3)	OutTimedOutInterests	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	InInterests	40	1.08594	5	0.135742
0.1	Rtr1	1	dev[2]=net(1,1-2)	OutInterests	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	DropInterests	16	0.4375	2	0.0546875
0.1	Rtr1	1	dev[2]=net(1,1-2)	InNacks	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	OutNacks	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	DropNacks	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	InData	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	OutData	8	10.0234	1	1.25293
0.1	Rtr1	1	dev[2]=net(1,1-2)	DropData	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	InSatisfiedInterests	8	0	1	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	InTimedOutInterests	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	OutSatisfiedInterests	0	0	0	0
0.1	Rtr1	1	dev[2]=net(1,1-2)	OutTimedOutInterests	0	0	0	0
0.1	Rtr1	-1	all	SatisfiedInterests	16	0	2	0
0.1	Rtr1	-1	all	TimedOutInterests	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	InInterests	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	OutInterests	8	0.210938	1	0.0263672
0.1	Rtr2	1	dev[3]=net(1,4-3)	DropInterests	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	InNacks	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	OutNacks	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	DropNacks	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	InData	8	10.0234	1	1.25293
0.1	Rtr2	1	dev[3]=net(1,4-3)	OutData	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	DropData	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	InSatisfiedInterests	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	InTimedOutInterests	0	0	0	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	OutSatisfiedInterests	8	0	1	0
0.1	Rtr2	1	dev[3]=net(1,4-3)	OutTimedOutInterests	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	InInterests	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	OutInterests	8	0.210938	1	0.0263672
0.1	Rtr2	2	dev[3]=net(2,5-3)	DropInterests	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	InNacks	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	OutNacks	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	DropNacks	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	InData	8	10.0234	1	1.25293
0.1	Rtr2	2	dev[3]=net(2,5-3)	OutData	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	DropData	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	InSatisfiedInterests	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	InTimedOutInterests	0	0	0	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	OutSatisfiedInterests	8	0	1	0
0.1	Rtr2	2	dev[3]=net(2,5-3)	OutTimedOutInterests	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	InInterests	48	1.29688	6	0.162109
0.1	Rtr2	0	dev[3]=net(0,2-3)	OutInterests	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	DropInterests	32	0.875	4	0.109375
0.1	Rtr2	0	dev[3]=net(0,2-3)	InNacks	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	OutNacks	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	DropNacks	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	InData	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	OutData	16	20.0469	2	2.50586
0.1	Rtr2	0	dev[3]=net(0,2-3)	DropData	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	InSatisfiedInterests	16	0	2	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	InTimedOutInterests	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	OutSatisfiedInterests	0	0	0	0
0.1	Rtr2	0	dev[3]=net(0,2-3)	OutTimedOutInterests	0	0	0	0
0.1	Rtr2	-1	all	SatisfiedInterests	16	0	2	0
0.1	Rtr2	-1	all	TimedOutInterests	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	InInterests	8	0.210938	1	0.0263672
0.1	Dst1	0	dev[4]=net(0,4-3)	OutInterests	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	DropInterests	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	InNacks	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	OutNacks	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	DropNacks	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	InData	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	OutData	8	10.0234	1	1.25293
0.1	Dst1	0	dev[4]=net(0,4-3)	DropData	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	InSatisfiedInterests	8	0	1	0
0.1	Dst1	0	dev[4]=net(0,4-3)	InTimedOutInterests	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	OutSatisfiedInterests	0	0	0	0
0.1	Dst1	0	dev[4]=net(0,4-3)	OutTimedOutInterests	0	0	0	0
0.1	Dst1	1	dev=local(1)	InInterests	0	0	0	0
0.1	Dst1	1	dev=local(1)	OutInterests	8	0.210938	1	0.0263672
0.1	Dst1	1	dev=local(1)	DropInterests	0	0	0	0
0.1	Dst1	1	dev=local(1)	InNacks	0	0	0	0
0.1	Dst1	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Dst1	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Dst1	1	dev=local(1)	InData	8	0	1	0
0.1	Dst1	1	dev=local(1)	OutData	0	0	0	0
0.1	Dst1	1	dev=local(1)	DropData	0	0	0	0
0.1	Dst1	1	dev=local(1)	InSatisfiedInterests	0	0	0	0
0.1	Dst1	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Dst1	1	dev=local(1)	OutSatisfiedInterests	8	0	1	0
0.1	Dst1	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Dst1	-1	all	SatisfiedInterests	8	0	1	0
0.1	Dst1	-1	all	TimedOutInterests	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	InInterests	8	0.210938	1	0.0263672
0.1	Dst2	0	dev[5]=net(0,5-3)	OutInterests	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	DropInterests	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	InNacks	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	OutNacks	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	DropNacks	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	InData	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	OutData	8	10.0234	1	1.25293
0.1	Dst2	0	dev[5]=net(0,5-3)	DropData	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	InSatisfiedInterests	8	0	1	0
0.1	Dst2	0	dev[5]=net(0,5-3)	InTimedOutInterests	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	OutSatisfiedInterests	0	0	0	0
0.1	Dst2	0	dev[5]=net(0,5-3)	OutTimedOutInterests	0	0	0	0
0.1	Dst2	1	dev=local(1)	InInterests	0	0	0	0
0.1	Dst2	1	dev=local(1)	OutInterests	8	0.210938	1	0.0263672
0.1	Dst2	1	dev=local(1)	DropInterests	0	0	0	0
0.1	Dst2	1	dev=local(1)	InNacks	0	0	0	0
0.1	Dst2	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Dst2	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Dst2	1	dev=local(1)	InData	8	0	1	0
0.1	Dst2	1	dev=local(1)	OutData	0	0	0	0
0.1	Dst2	1	dev=local(1)	DropData	0	0	0	0
0.1	Dst2	1	dev=local(1)	InSatisfiedInterests	0	0	0	0
0.1	Dst2	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Dst2	1	dev=local(1)	OutSatisfiedInterests	8	0	1	0
0.1	Dst2	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Dst2	-1	all	SatisfiedInterests	8	0	1	0
0.1	Dst2	-1	all	TimedOutInterests	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	InInterests	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	OutInterests	4.8	0.129687	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	DropInterests	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	InNacks	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	OutNacks	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	DropNacks	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	InData	1.6	2.00469	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	OutData	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	DropData	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	InSatisfiedInterests	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	InTimedOutInterests	0	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	OutSatisfiedInterests	1.6	0	0	0
0.2	Src1	0	dev[0]=net(0,0-2)	OutTimedOutInterests	0	0	0	0
0.2	Src1	1	dev=local(1)	InInterests	145.6	0	15	0
0.2	Src1	1	dev=local(1)	OutInterests	0	0	0	0
0.2	Src1	1	dev=local(1)	DropInterests	140.8	0	15	0
0.2	Src1	1	dev=local(1)	InNacks	0	0	0	0
0.2	Src1	1	dev=local(1)	OutNacks	0	0	0	0
0.2	Src1	1	dev=local(1)	DropNacks	0	0	0	0
0.2	Src1	1	dev=local(1)	InData	0	0	0	0
0.2	Src1	1	dev=local(1)	OutData	1.6	0	0	0
0.2	Src1	1	dev=local(1)	DropData	0	0	0	0
0.2	Src1	1	dev=local(1)	InSatisfiedInterests	1.6	0	0	0
0.2	Src1	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.2	Src1	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.2	Src1	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.2	Src1	-1	all	SatisfiedInterests	1.6	0	0	0
0.2	Src1	-1	all	TimedOutInterests	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	InInterests	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	OutInterests	8	0.217187	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	DropInterests	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	InNacks	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	OutNacks	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	DropNacks	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	InData	1.6	2.00469	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	OutData	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	DropData	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	InSatisfiedInterests	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	InTimedOutInterests	0	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	OutSatisfiedInterests	1.6	0	0	0
0.2	Src2	0	dev[1]=net(0,1-2)	OutTimedOutInterests	0	0	0	0
0.2	Src2	1	dev=local(1)	InInterests	145.6	0	15	0
0.2	Src2	1	dev=local(1)	OutInterests	0	0	0	0
0.2	Src2	1	dev=local(1)	DropInterests	137.6	0	15	0
0.2	Src2	1	dev=local(1)	InNacks	0	0	0	0
0.2	Src2	1	dev=local(1)	OutNacks	0	0	0	0
0.2	Src2	1	dev=local(1)	DropNacks	0	0	0	0
0.2	Src2	1	dev=local(1)	InData	0	0	0	0
0.2	Src2	1	dev=local(1)	OutData	1.6	0	0	0
0.2	Src2	1	dev=local(1)	DropData	0	0	0	0
0.2	Src2	1	dev=local(1)	InSatisfiedInterests	1.6	0	0	0
0.2	Src2	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.2	Src2	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.2	Src2	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.2	Src2	-1	all	SatisfiedInterests	1.6	0	0	0
0.2	Src2	-1	all	TimedOutInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InInterests	4.8	0.129687	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InNacks	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutNacks	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropNacks	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InData	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutData	1.6	2.00469	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	DropData	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InSatisfiedInterests	1.6	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	InTimedOutInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutSatisfiedInterests	0	0	0	0
0.2	Rtr1	0	dev[2]=net(0,0-2)	OutTimedOutInterests	0	0	0	0
0.2	Rtr1	2	dev[2]=net(2,2-3)	InInterests	0	0	0	0
